fbGroup, lat, lon 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-28T21:00:00-0400 
Boston Hassle, 42.3610403461, -71.0516001413, 2014-09-28T12:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-24T21:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-23T20:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-22T19:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-10-30T22:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-10-04T22:00:00-0400 
Boston Hassle, 42.3610403461, -71.0516001413, 2014-09-28T12:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-27T20:30:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-22T20:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-20T21:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-21T15:30:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-20T16:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-19T21:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-18T20:30:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-19T22:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-17T20:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-16T19:30:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-16T20:30:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-15T19:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-15T20:00:00-0400 
Boston Hassle, 42.3490895342, -71.1528760586, 2014-09-14T19:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-14T16:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-14T21:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-13T16:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-09-13T20:00:00-0400 
Boston Hassle, 42.3883543062, -71.1035776904, 2014-11-07T18:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-09T21:00:00-0400 
