Shuffle ID,Group ID,Post ID,https://www.facebook.com/Group ID_Post ID
1743,301986473149390,960153527332678,https://www.facebook.com/301986473149390_960153527332678
1841,57795809271,10152478936054272,https://www.facebook.com/57795809271_10152478936054272
1694,301986473149390,935893066425391,https://www.facebook.com/301986473149390_935893066425391
255,57795809271,10152284097239272,https://www.facebook.com/57795809271_10152284097239272
650,301986473149390,10152807846505801,https://www.facebook.com/301986473149390_10152807846505801
209,57795809271,10150612459569272,https://www.facebook.com/57795809271_10150612459569272
894,57795809271,10152497892659272,https://www.facebook.com/57795809271_10152497892659272
1477,57795809271,10152334360399272,https://www.facebook.com/57795809271_10152334360399272
928,301986473149390,950217988326232,https://www.facebook.com/301986473149390_950217988326232
324,57795809271,10152537463524272,https://www.facebook.com/57795809271_10152537463524272
1755,301986473149390,959097604104937,https://www.facebook.com/301986473149390_959097604104937
72,301986473149390,923962177618480,https://www.facebook.com/301986473149390_923962177618480
1686,57795809271,10150614517329272,https://www.facebook.com/57795809271_10150614517329272
1637,57795809271,10151356333609272,https://www.facebook.com/57795809271_10151356333609272
664,57795809271,10150793593694272,https://www.facebook.com/57795809271_10150793593694272
203,57795809271,10151147798864272,https://www.facebook.com/57795809271_10151147798864272
238,301986473149390,10152606217591067,https://www.facebook.com/301986473149390_10152606217591067
971,301986473149390,935894366425261,https://www.facebook.com/301986473149390_935894366425261
1652,301986473149390,928191040528927,https://www.facebook.com/301986473149390_928191040528927
480,57795809271,10150330354114272,https://www.facebook.com/57795809271_10150330354114272
1027,57795809271,10150622359914272,https://www.facebook.com/57795809271_10150622359914272
358,301986473149390,10152606220031067,https://www.facebook.com/301986473149390_10152606220031067
1414,57795809271,10151767349839272,https://www.facebook.com/57795809271_10151767349839272
228,301986473149390,927615160586515,https://www.facebook.com/301986473149390_927615160586515
1204,57795809271,10151994287919272,https://www.facebook.com/57795809271_10151994287919272
1866,301986473149390,932155150132516,https://www.facebook.com/301986473149390_932155150132516
668,57795809271,10150990665439272,https://www.facebook.com/57795809271_10150990665439272
632,301986473149390,10152668038585783,https://www.facebook.com/301986473149390_10152668038585783
1641,57795809271,10151419039064272,https://www.facebook.com/57795809271_10151419039064272
990,301986473149390,913156458699052,https://www.facebook.com/301986473149390_913156458699052
1555,301986473149390,10152629419770783,https://www.facebook.com/301986473149390_10152629419770783
1841,57795809271,10150330354139272,https://www.facebook.com/57795809271_10150330354139272
750,301986473149390,963354080345956,https://www.facebook.com/301986473149390_963354080345956
1766,57795809271,10152023616544272,https://www.facebook.com/57795809271_10152023616544272
396,57795809271,10151790167504272,https://www.facebook.com/57795809271_10151790167504272
1171,301986473149390,912836992064332,https://www.facebook.com/301986473149390_912836992064332
404,57795809271,10152107716849272,https://www.facebook.com/57795809271_10152107716849272
709,57795809271,10150362612489272,https://www.facebook.com/57795809271_10150362612489272
1099,301986473149390,926391837375514,https://www.facebook.com/301986473149390_926391837375514
1089,301986473149390,962943967053634,https://www.facebook.com/301986473149390_962943967053634
400,57795809271,10152489339679272,https://www.facebook.com/57795809271_10152489339679272
1164,57795809271,10150330354209272,https://www.facebook.com/57795809271_10150330354209272
1290,57795809271,10150330354224272,https://www.facebook.com/57795809271_10150330354224272
497,301986473149390,10203967370361993,https://www.facebook.com/301986473149390_10203967370361993
1126,301986473149390,950738338274197,https://www.facebook.com/301986473149390_950738338274197
485,301986473149390,931642413517123,https://www.facebook.com/301986473149390_931642413517123
37,57795809271,10151129217104272,https://www.facebook.com/57795809271_10151129217104272
1237,301986473149390,918682474813117,https://www.facebook.com/301986473149390_918682474813117
561,301986473149390,925564417458256,https://www.facebook.com/301986473149390_925564417458256
361,57795809271,10151873238449272,https://www.facebook.com/57795809271_10151873238449272
990,301986473149390,960620010619363,https://www.facebook.com/301986473149390_960620010619363
748,301986473149390,964041176943913,https://www.facebook.com/301986473149390_964041176943913
1666,57795809271,10151669488404272,https://www.facebook.com/57795809271_10151669488404272
1298,57795809271,10151491179284272,https://www.facebook.com/57795809271_10151491179284272
1022,57795809271,10151805768789272,https://www.facebook.com/57795809271_10151805768789272
1310,301986473149390,941635525851145,https://www.facebook.com/301986473149390_941635525851145
1237,57795809271,10151818660779272,https://www.facebook.com/57795809271_10151818660779272
1348,57795809271,10150624640504272,https://www.facebook.com/57795809271_10150624640504272
541,301986473149390,935284496486248,https://www.facebook.com/301986473149390_935284496486248
623,57795809271,10151057090769272,https://www.facebook.com/57795809271_10151057090769272
1716,301986473149390,937354272945937,https://www.facebook.com/301986473149390_937354272945937
54,57795809271,10151707982584272,https://www.facebook.com/57795809271_10151707982584272
1571,301986473149390,961824980498866,https://www.facebook.com/301986473149390_961824980498866
575,301986473149390,833981466626385,https://www.facebook.com/301986473149390_833981466626385
317,301986473149390,921578091190222,https://www.facebook.com/301986473149390_921578091190222
1551,57795809271,10151818530739272,https://www.facebook.com/57795809271_10151818530739272
153,57795809271,10152256456034272,https://www.facebook.com/57795809271_10152256456034272
702,301986473149390,950567648291266,https://www.facebook.com/301986473149390_950567648291266
1489,301986473149390,360869647403457,https://www.facebook.com/301986473149390_360869647403457
383,57795809271,10151826726234272,https://www.facebook.com/57795809271_10151826726234272
1874,57795809271,10151531334779272,https://www.facebook.com/57795809271_10151531334779272
653,301986473149390,369114079928712,https://www.facebook.com/301986473149390_369114079928712
228,57795809271,10152657905454272,https://www.facebook.com/57795809271_10152657905454272
639,57795809271,10151399070474272,https://www.facebook.com/57795809271_10151399070474272
1190,57795809271,10151914153409272,https://www.facebook.com/57795809271_10151914153409272
1265,57795809271,10150330354264272,https://www.facebook.com/57795809271_10150330354264272
444,301986473149390,962878047060226,https://www.facebook.com/301986473149390_962878047060226
231,57795809271,10152503185594272,https://www.facebook.com/57795809271_10152503185594272
937,57795809271,10152245930209272,https://www.facebook.com/57795809271_10152245930209272
901,57795809271,10152510352174272,https://www.facebook.com/57795809271_10152510352174272
1617,301986473149390,1.02046E+16,https://www.facebook.com/301986473149390_1.02046E+16
1737,301986473149390,933092216705476,https://www.facebook.com/301986473149390_933092216705476
833,301986473149390,954079764606721,https://www.facebook.com/301986473149390_954079764606721
12,57795809271,10150330354189272,https://www.facebook.com/57795809271_10150330354189272
1818,301986473149390,956745227673508,https://www.facebook.com/301986473149390_956745227673508
1188,301986473149390,955199004494797,https://www.facebook.com/301986473149390_955199004494797
